Participant,GoodBad,Angle1,Angle2,Angle3,Angle4
1,1,45.8936,45.6709,47.5785,47.7297
1,1,47.931,47.4115,46.9283,46.6396
1,1,49.5285,48.7323,46.5413,45.7965
1,1,51.9035,50.7228,46.3891,44.6014
1,1,53.1679,52.0036,46.553,44.0415
1,1,54.8326,53.6432,46.883,43.4921
1,1,56.3321,55.3025,46.6835,42.9018
1,1,57.4076,56.6674,46.6724,42.6154
1,1,58.971,58.2996,46.2587,42.3182
1,1,61.0932,60.1684,45.7511,41.6762
1,1,62.6086,61.8615,46.0376,41.3163
1,1,64.0535,63.5929,46.4227,41.2146
1,1,65.0168,64.5543,46.4482,41.1489
1,1,66.3288,66.0737,46.8763,40.8459
1,1,67.0756,67.1879,47.442,40.7555
1,1,67.4668,67.8724,47.8252,40.5913
1,1,68.0138,68.6959,48.3613,40.1666
1,1,68.3066,69.3034,48.6752,39.6295
1,1,68.3147,70.1783,49.5134,38.6311
1,1,68.1916,70.8546,50.0114,38.3515
1,1,68.2161,71.2165,50.0682,38.8402
1,1,68.1192,71.5004,50.2988,39.6605
1,1,67.9842,71.0996,50.769,42.6935
1,1,67.7363,69.8156,51.6715,47.9494
1,1,67.693,68.6278,52.6911,52.7027
1,1,66.6516,66.3921,55.8984,61.2643
1,1,65.2794,65.6457,59.4842,66.7164
1,1,63.2777,65.0243,64.9789,74.6918
1,1,62.9151,64.806,67.3832,80.3732
1,1,63.5818,64.942,68.0234,88.6979
1,1,63.1425,65.1975,69.7517,96.319
1,1,62.1493,65.7767,73.3165,105.9159
1,1,61.5208,66.4182,75.8714,112.6093
1,1,60.6079,67.3069,79.5161,119.6115
1,1,60.0909,67.8706,82.1054,123.1063
1,1,58.7284,68.6615,87.6043,127.3516
1,1,57.2808,69.131,92.7709,129.8573
1,1,56.8315,69.4546,95.4245,134.167
1,1,56.9742,69.8418,94.9281,137.5095
1,1,57.0373,71.2761,94.2556,142.6222
1,1,56.7238,72.0984,94.5167,146.6346
1,1,56.5123,70.813,95.0367,147.1678
1,1,56.8607,70.0182,94.3389,147.2624
1,1,57.0298,69.3102,93.9433,146.358
1,1,57.1721,68.516,93.9566,146.3739
1,1,57.2786,67.3713,94.2086,144.5107
1,1,57.5067,66.3912,93.5727,140.4287
1,1,57.8984,64.9767,91.8908,127.2312
1,1,58.1278,64.4038,91.1703,118.7699
1,1,58.242,63.931,90.7417,114.1151
1,1,58.4747,63.6594,89.5327,108.5445
1,1,59.2489,64.7564,86.5687,92.2698
1,1,60.0381,66.6498,84.3402,81.4364
1,1,60.799,68.7316,82.0662,68.4469
1,1,62.7954,72.4366,76.7925,50.4979
1,1,65.6924,77.9842,70.112,33.6187
1,1,66.7713,84.9741,67.5042,20.1073
1,1,67.2686,88.3392,66.5332,17.3689
1,1,70.4439,89.6952,60.5111,17.8673
1,1,72.318,89.7022,56.8634,17.7436
1,1,71.7007,91.6721,57.1472,21.4201
1,1,71.7532,94.7193,56.4192,28.6321
1,1,73.0273,93.6022,54.0862,26.719
1,1,73.0563,92.2105,53.6785,23.7223
1,1,72.7641,92.9177,54.0291,24.6087
1,1,72.382,93.0751,54.3238,23.9471
1,1,72.8619,92.0748,53.5106,21.0142
1,1,73.204,92.0987,52.989,20.7046
1,1,73.1413,92.0409,52.7274,20.2014
1,1,73.105,89.6431,52.4766,14.9814
1,1,73.2207,85.6033,52.2239,11.4451
1,1,72.9083,80.5968,52.5905,16.3238
1,1,72.945,77.4086,52.7816,23.1134
1,1,72.9829,74.3998,53.084,33.5726
1,1,72.6834,71.2108,54.1941,44.1138
