Participant,GoodBad,Angle1,Angle2,Angle3
1,0,0.019782,90.0245,3.5089
1,0,0.027976,90.0553,3.5926
1,0,0,90.0064,3.6351
1,0,0.019782,89.972,3.6509
1,0,0.019782,89.8872,3.6946
1,0,0,89.8516,3.7159
1,0,0,89.7604,3.6831
1,0,0,89.7321,3.6768
1,0,0,89.7219,3.6465
1,0,0,89.7539,3.6209
1,0,0,89.7849,3.5552
1,0,0.019782,89.8082,3.4694
1,0,0,89.9338,3.3367
1,0,0.019782,89.96,3.2044
1,0,0.027976,90.0669,3.0289
1,0,0.019782,90.2803,2.8655
1,0,0,90.4077,2.7059
1,0,0.027976,90.3497,2.5427
1,0,0.027976,90.3172,2.4161
1,0,0.019782,90.3288,2.355
1,0,0,90.56,2.3858
1,0,0,90.7389,2.3159
1,0,0.019782,90.6011,2.2398
1,0,0,90.7078,2.17
1,0,0,91.1008,2.2023
1,0,0,91.3544,2.19
1,0,0,91.505,2.1988
1,0,0,91.6127,2.1904
1,0,0,91.7972,2.1628
1,0,0,91.9363,2.1291
1,0,0,91.8788,2.0898
1,0,0,91.8588,2.0157
1,0,0,92.0281,1.9555
1,0,0.019782,92.3186,1.9414
1,0,0.027976,92.7105,1.8926
1,0,0.019782,93.2726,1.818
1,0,0,93.7205,1.8301
1,0,0,93.9837,1.9109
1,0,0,94.1541,1.9438
1,0,0.019782,94.6424,1.9038
1,0,0,94.9077,1.8885
1,0,0.027976,95.1079,1.8639
1,0,0.027976,95.5659,1.9114
1,0,0,95.9879,1.9638
1,0,0.027976,96.3957,2.0455
1,0,0.019782,96.5608,2.0654
1,0,0.019782,96.808,2.108
1,0,0.027976,96.8346,2.1702
1,0,0,97.0521,2.2016
1,0,0,97.4591,2.2179
1,0,0,97.8509,2.2323
1,0,0,98.2127,2.3028
1,0,0,98.5967,2.346
1,0,0,99.1616,2.2857
1,0,0,99.5792,2.1863
1,0,0.019782,100.0338,2.1618
1,0,0,100.3747,2.0885
1,0,0.027976,100.9035,2.0958
1,0,0.019782,101.1671,2.069
1,0,0.019782,101.561,2.0043
1,0,0,101.9235,1.9563
1,0,0.027976,102.3269,1.8878
1,0,0,102.703,1.8059
1,0,0.019782,103.0649,1.7318
1,0,0.027976,103.279,1.631
1,0,0,103.4668,1.5251
1,0,0.027976,103.7042,1.4074
1,0,0.027976,103.8856,1.3016
1,0,0,103.9684,1.2315
1,0,0.027976,104.1291,1.0796
1,0,0,104.1742,0.93754
1,0,0,104.3468,0.8004
1,0,0,104.4941,0.65879
1,0,0,104.6436,0.5132
1,0,0,104.8516,0.34718
1,0,0,104.9359,0.2185
1,0,0,104.9482,0.094873
1,0,0.019782,105.1018,0.052339
1,0,0,105.0806,0.15702
1,0,0,104.9096,0.24629
1,0,0.019782,104.6547,0.32686
1,0,0.019782,104.5228,0.36851
1,0,0,104.4875,0.41871
1,0,0.027976,104.4017,0.47683
2,1,0.019782,105.9364,0
2,1,0,105.8438,0
2,1,0,105.715,0.034264
2,1,0,105.5818,0.068528
2,1,0,105.4642,0.086229
2,1,0.019782,105.3243,0.11703
2,1,0.019782,105.2162,0.18557
2,1,0,105.1881,0.26614
2,1,0,105.0983,0.32506
2,1,0.019782,105.0316,0.43611
2,1,0.027976,105.0307,0.60652
2,1,0.027976,104.9687,0.82306
2,1,0,104.9592,1.0385
2,1,0.019782,104.9737,1.314
2,1,0.019782,104.9478,1.6328
2,1,0,104.9403,1.8751
2,1,0.019782,104.9109,2.0734
2,1,0,104.7723,2.3534
2,1,0.019782,104.5746,2.6901
2,1,0,104.4038,3.0381
2,1,0,104.1423,3.3777
2,1,0.019782,103.7624,3.7636
2,1,0.019782,103.2471,4.3875
2,1,0.019782,102.8677,4.8283
2,1,0,102.4386,5.3113
2,1,0.027976,102.0504,5.8915
2,1,0.019782,101.7926,6.4342
2,1,0,101.5,6.9692
2,1,0,101.3191,7.5035
2,1,0,101.1647,8.1511
2,1,0,101.0636,8.7066
2,1,0,100.9246,9.2442
2,1,0.027976,100.8159,9.8501
2,1,0,100.6124,10.4016
2,1,0,100.361,10.9094
2,1,0,100.1557,11.4586
2,1,0.027976,99.931,11.9541
2,1,0.019782,99.6057,12.5035
2,1,0.027976,99.3393,13.029
2,1,0,99.22,13.5429
2,1,0,99.1326,14.0911
2,1,0.019782,99.106,14.6748
2,1,0,99.1339,15.2429
2,1,0,99.0682,15.779
2,1,0,98.9838,16.3723
2,1,0.019782,98.9913,17.0095
2,1,0,99.047,17.6278
2,1,0,98.982,18.1792
2,1,0.019782,99.1728,18.8003
2,1,0,99.293,19.3682
2,1,0.019782,99.3661,19.8546
2,1,0.019782,99.6674,20.3884
2,1,0,100.0769,20.881
2,1,0.019782,100.4273,21.337
2,1,0,100.9285,21.903
2,1,0.019782,101.1149,22.2699
2,1,0.027976,101.5998,22.7023
2,1,0.019782,102.1959,23.226
2,1,0,102.5644,23.5948
2,1,0.019782,103.1573,24.0192
2,1,0.019782,103.4292,24.3839
2,1,0,103.5313,24.7091
2,1,0.019782,103.5171,24.9078
2,1,0,103.7734,25.2096
2,1,0.019782,103.9755,25.5187
2,1,0,103.9523,25.7575
2,1,0.019782,104.0302,25.9405
2,1,0.019782,104.1021,26.2187
2,1,0.019782,104.1149,26.5577
2,1,0,103.7611,26.6471
2,1,0.027976,103.7601,26.8279
2,1,0,103.599,27.0609
2,1,0,103.4879,27.1821
2,1,0.019782,103.0728,27.2327
2,1,0,102.7279,27.3522
2,1,0,102.5847,27.4002
2,1,0,102.3375,27.2527
2,1,0,102.2882,27.2818
2,1,0,102.1375,27.3035
