personNum,Stage,Angle1,Angle2,Angle3,Angle4,Angle5
1,0,7.1513,62.269,65.9926,4.1884,0.9974
1,0,7.2488,62.3661,65.7466,4.1276,0.94149
1,0,7.1779,62.4706,65.31,4.093,0.91429
1,0,7.0172,62.941,65.2554,4.1329,0.84372
1,0,6.8385,63.8731,65.2285,4.2527,0.75173
1,0,6.7297,65.3404,65.0528,4.3848,0.6576
1,0,6.686,67.5676,65.2794,4.5175,0.55001
1,0,6.6172,70.534,64.8773,4.7542,0.43386
1,0,6.5278,74.1035,63.3729,5.0511,0.32865
1,0,6.5155,77.6987,61.9559,5.3876,0.28462
1,0,6.5336,82.1246,60.9952,5.5945,0.27268
1,0,6.5302,86.5829,60.7586,5.7254,0.26834
1,0,6.5351,91.3673,60.4662,5.8347,0.27766
1,0,6.5736,96.4047,60.2538,5.9506,0.30774
1,0,6.5695,101.8662,60.9944,6.0093,0.36638
1,0,6.5355,106.6869,62.479,6.0166,0.42841
1,0,6.5175,111.902,63.8314,6.1056,0.50046
1,0,6.4765,117.9052,65.0496,6.2506,0.55001
1,0,6.4541,123.0273,67.0993,6.3401,0.55497
1,0,6.3565,128.7904,69.5315,6.4354,0.55918
1,0,6.1715,134.0583,70.8217,6.4647,0.57267
1,0,6.0239,139.0788,71.695,6.4349,0.56302
1,0,5.8714,144.5525,73.2188,6.4082,0.54894
1,0,5.7245,149.3463,74.8306,6.3454,0.55673
1,0,5.5761,154.0258,76.0841,6.2233,0.52077
1,0,5.368,158.2773,76.9807,6.1005,0.46055
1,0,5.1485,162.1917,78.1096,5.9596,0.41069
1,0,4.9908,165.1199,79.5341,5.8095,0.41307
1,0,4.8563,166.9973,80.5571,5.6855,0.45842
1,0,4.76,167.6662,81.0014,5.5249,0.4723
1,0,4.6652,167.5012,81.1142,5.3404,0.44367
1,0,4.4998,167.0402,81.3503,5.1367,0.43701
1,0,4.2722,166.7307,81.8113,4.947,0.47765
1,0,3.9733,167.0552,82.8622,4.7536,0.53339
1,0,3.6811,167.0732,83.8947,4.5853,0.5938
1,0,3.4285,165.8936,84.3626,4.4316,0.61929
1,0,3.1522,164.1721,85.207,4.3121,0.60909
1,0,2.9278,163.0942,86.7998,4.2379,0.61294
1,0,2.8256,162.5035,88.8878,4.1011,0.59248
1,0,2.8664,162.4041,92.1535,3.9832,0.54357
1,0,2.8908,162.578,95.8837,3.8232,0.47436
1,0,3.0091,162.0828,98.9872,3.5756,0.39565
1,0,3.0978,162.509,102.3689,3.3377,0.33102
1,0,3.1557,163.6389,106.504,3.0307,0.28116
1,0,3.2817,164.8858,111.0708,2.7651,0.2158
1,0,3.3008,166.135,114.7339,2.48,0.19683
1,0,3.383,168.1012,117.9766,2.0711,0.18452
1,0,3.5487,170.6352,123.0917,1.8067,0.24787
1,0,3.8287,172.5874,128.1792,1.5246,0.32626
1,0,4.2004,173.3243,132.505,1.2378,0.40056
1,0,4.6083,173.0713,137.3616,1.0137,0.49732
1,0,4.9923,170.5336,142.3879,0.63612,0.61897
1,0,5.3803,166.6083,146.5032,0.31528,0.75847
1,0,5.6487,163.5816,149.0888,0.10279,0.83322
1,0,5.9567,160.1526,152.5575,0.048457,0.88581
1,0,6.3369,157.715,155.9802,0.019782,0.93962
1,0,6.6884,156.1214,158.7861,0,0.99505
1,0,6.9563,155.8095,160.6293,0.074019,1.0355
1,0,7.1794,155.8208,161.9269,0.14127,1.0799
1,0,7.4198,155.8098,162.9687,0.19979,1.1419
1,0,7.5765,154.6841,163.7899,0.20936,1.1957
1,0,7.7144,153.2986,164.5263,0.22642,1.2351
1,1,0,159.1,159.1706,0,0
1,1,0.039565,159.7519,159.4599,0,0.034264
1,1,0.126669,160.023,159.5536,0.019782,0.131221
1,1,0.247082,158.6538,159.7055,0,0.23239
1,1,0.404452,156.7396,159.5193,0.044235,0.312787
1,1,0.617706,156.2649,159.1728,0.019782,0.44937
1,1,0.852716,157.3101,158.9101,0.083929,0.690122
1,1,1.156568,158.4268,158.3145,0.315279,0.962865
1,1,1.523414,159.191,157.6338,0.582827,1.217883
1,1,1.948127,159.7898,157.1037,0.847884,1.552552
1,1,2.372154,160.313,156.6875,1.167178,1.950838
1,1,2.840969,160.9849,156.2534,1.520456,2.418727
1,1,3.346382,161.9676,155.7132,1.867603,2.972099
1,1,3.753324,163.0034,155.025,2.200159,3.493959
1,1,4.190215,164.4372,154.0455,2.481912,4.101025
1,1,4.602407,165.6744,152.9216,2.816263,4.706194
1,1,4.872988,166.3943,151.9382,3.126498,5.254602
1,1,5.168428,166.8929,150.7331,3.40335,5.868554
1,1,5.470706,167.178,149.3591,3.701951,6.438793
1,1,5.79109,167.3436,147.8488,3.985656,6.93763
1,1,6.182312,167.3843,145.9674,4.284914,7.472782
1,1,6.522786,167.1903,144.3528,4.690183,7.906015
1,1,6.898275,166.6493,142.7113,5.054856,8.359309
